initial position index,timestep,posD,thetaD,dposD,dthetaD,FD
0,0,-0.5,0,0,0,-2.000000016
0,1,-0.503204183,-0.001603138,-0.16041801,-0.080313619,-2.000000016
0,2,-0.512866922,-0.006450235,-0.323346887,-0.162513567,-2.000000014
0,3,-0.529138787,-0.014654613,-0.491290862,-0.24849487,-2.000000016
0,4,-0.552269983,-0.026405551,-0.666719553,-0.340158323,-1.999999992
0,5,-0.577309687,-0.039318639,-0.586956307,-0.306766695,1.315615194
0,6,-0.598263439,-0.050497775,-0.462239052,-0.253314562,2.000000014
0,7,-0.614398312,-0.05966536,-0.34574996,-0.205991379,2.000000016
0,8,-0.626012916,-0.067043627,-0.23598578,-0.163669387,2.000000016
0,9,-0.6333484,-0.07281184,-0.131575271,-0.125325874,2.000000017
0,10,-0.636593484,-0.077110221,-0.031265136,-0.090028731,2.000000016
0,11,-0.635888768,-0.08004323,0.066101128,-0.056918751,2.000000016
0,12,-0.631330126,-0.081682098,0.161607577,-0.025190665,2.000000018
0,13,-0.622971094,-0.082066607,0.256291371,0.005926113,2.000000015
0,14,-0.610824228,-0.081206086,0.351168678,0.037186692,2.000000018
0,15,-0.594861425,-0.079079652,0.447260615,0.069349828,2.000000012
0,16,-0.575013206,-0.075635681,0.545619196,0.103197075,2.00000001
0,17,-0.551166962,-0.070790508,0.647353151,0.139552021,2.000000008
0,18,-0.523164178,-0.064426364,0.753653171,0.179299501,2.000000003
0,19,-0.490796677,-0.056388551,0.865815351,0.223404235,1.999999996
0,20,-0.453802002,-0.046481896,0.98526023,0.272927605,1.999999982
0,21,-0.411858195,-0.034466624,1.11354253,0.329039979,1.999999952
0,22,-0.364578524,-0.020053887,1.252342943,0.393023918,1.999999857
0,23,-0.311947522,-0.003121807,1.381375383,0.455220776,1.725034744
0,24,-0.259851729,0.013517929,1.225535153,0.378372901,-1.999999493
0,25,-0.213748069,0.027266117,1.081455735,0.310394109,-1.999999703
0,26,-0.173203598,0.038448039,0.94726649,0.24982141,-1.999999756
0,27,-0.137859211,0.047332005,0.821157087,0.195273419,-1.999999927
0,28,-0.107426264,0.054132955,0.701417988,0.14546347,-1.999999743
0,29,-0.08168234,0.059016191,0.58644661,0.099194543,-1.999999694
0,30,-0.060467185,0.062100688,0.474734173,0.055344198,-1.999999603
0,31,-0.043679403,0.063461682,0.364841976,0.012844212,-1.999999436
0,32,-0.031274221,0.063132383,0.255372389,-0.029342306,-1.999999099
0,33,-0.023262474,0.061104756,0.144937528,-0.072244862,-1.99999831
0,34,-0.019710847,0.057329328,0.032127287,-0.116909808,-1.999998515
0,35,-0.020743364,0.051714055,-0.084519885,-0.164423278,-1.999982795
0,36,-0.024497362,0.045145016,-0.104032388,-0.16466984,-0.716788862
0,37,-0.024940117,0.040585568,0.081352906,-0.063719631,1.910204779
0,38,-0.022327389,0.037872123,0.048926985,-0.072219817,-0.790928423
0,39,-0.020359973,0.035133399,0.049088032,-0.064983848,-0.355175023
0,40,-0.018489097,0.032622251,0.044128565,-0.060819339,-0.393818293
0,41,-0.016805098,0.030273794,0.039765164,-0.056833496,-0.36260383
0,42,-0.015278504,0.028084326,0.036278933,-0.052854364,-0.329430256
0,43,-0.013887548,0.026047542,0.033002953,-0.049184477,-0.306135714
0,44,-0.01262195,0.024152591,0.03002943,-0.04574891,-0.283118398
0,45,-0.011470389,0.022390254,0.027318314,-0.042540766,-0.261940021
0,46,-0.010422799,0.02075173,0.024846968,-0.039546217,-0.242295537
0,47,-0.009470302,0.019228592,0.022578652,-0.036760168,-0.224278329
0,48,-0.008604715,0.017812974,0.020515507,-0.0341597,-0.207322506
0,49,-0.00781767,0.016497946,0.018664648,-0.031720857,-0.191294217
0,50,-0.007101764,0.015276883,0.016970827,-0.02945217,-0.176908666
0,51,-0.006450756,0.014143321,0.015431194,-0.027337273,-0.163445978
0,52,-0.005858796,0.013091284,0.014029067,-0.025367931,-0.151018828
0,53,-0.005320602,0.012115152,0.012752771,-0.023534545,-0.139508081
0,54,-0.004831343,0.011209679,0.011591616,-0.021828088,-0.128848361
0,55,-0.004386619,0.010369953,0.010534572,-0.020240699,-0.118994415
0,56,-0.003982416,0.00959139,0.009573572,-0.018763968,-0.109862778
0,57,-0.003615075,0.008869706,0.008698941,-0.017391158,-0.10143025
0,58,-0.003281273,0.008200896,0.00790351,-0.01611509,-0.09362495
0,59,-0.002977978,0.007581225,0.007180089,-0.014929357,-0.086409293
0,60,-0.002702427,0.007007208,0.006522225,-0.01382789,-0.079738777
0,61,-0.002452107,0.006475596,0.005924105,-0.01280496,-0.073572401
0,62,-0.002224732,0.005983358,0.005380157,-0.011855337,-0.067876447
0,63,-0.002018223,0.005527668,0.004885575,-0.010973976,-0.062612621
0,64,-0.001830676,0.005105899,0.004436486,-0.010155906,-0.057742591
0,65,-0.001660366,0.004715604,0.004027873,-0.009397222,-0.053255796
0,66,-0.001505729,0.004354499,0.003656623,-0.008693532,-0.049105241
0,67,-0.001365336,0.004020463,0.003319244,-0.008041067,-0.045274126
0,68,-0.001237888,0.003711525,0.003012684,-0.007436236,-0.041736848
0,69,-0.001122202,0.003425848,0.002734154,-0.006875693,-0.038471485
0,70,-0.001017205,0.003161727,0.002481114,-0.006356313,-0.035457569
0,71,-0.000921917,0.002917577,0.002251254,-0.005875179,-0.032676114
0,72,-0.000835451,0.002691926,0.002042468,-0.005429572,-0.030109537
0,73,-0.000756998,0.002483405,0.001852844,-0.005016955,-0.027741552
0,74,-0.000685824,0.002290746,0.001680639,-0.004634964,-0.025557076
0,75,-0.000621259,0.002112769,0.001524286,-0.004281388,-0.023541927
0,76,-0.000562696,0.00194838,0.001382279,-0.003954207,-0.021684179
0,77,-0.000509585,0.001796565,0.001253388,-0.003651472,-0.019970089
0,78,-0.000461426,0.001656381,0.001136189,-0.003371521,-0.018392431
0,79,-0.000417757,0.001526957,0.001030278,-0.003112362,-0.01692962
0,80,-0.000378163,0.001407487,0.000933792,-0.002872893,-0.015591634
0,81,-0.000342272,0.001297217,0.000846314,-0.002651445,-0.014352756
0,82,-0.00030974,0.001195454,0.000766926,-0.002446742,-0.013212159
0,83,-0.000280257,0.001101553,0.000694897,-0.002257545,-0.012160958
0,84,-0.000253541,0.001014918,0.000629552,-0.002082706,-0.011192356
0,85,-0.000229335,0.000934998,0.000570276,-0.001921163,-0.010299973
0,86,-0.000207406,0.000861281,0.000516512,-0.001771928,-0.009477891
0,87,-0.000187543,0.000793294,0.000467753,-0.001634084,-0.008720651
0,88,-0.000169552,0.0007306,0.000423538,-0.001506781,-0.008023211
0,89,-0.000153261,0.000672794,0.000383448,-0.00138923,-0.007380913
0,90,-0.00013851,0.0006195,0.000347102,-0.0012807,-0.006789457
0,91,-0.000125156,0.000570372,0.000314155,-0.001180513,-0.00624487
0,92,-0.000113069,0.00052509,0.000284293,-0.00108804,-0.005743488
0,93,-0.000102129,0.000483357,0.000257229,-0.001002699,-0.005281927
0,94,-9.22E-05,0.0004449,0.000232706,-0.000923951,-0.004857064
0,95,-8.33E-05,0.000409465,0.000210486,-0.000851295,-0.004466017
0,96,-7.52E-05,0.000376818,0.000190357,-0.000784269,-0.004106129
0,97,-6.78E-05,0.000346742,0.000172124,-0.000722445,-0.003774945
0,98,-6.12E-05,0.000319039,0.000155611,-0.000665426,-0.003470205
0,99,-5.52E-05,0.000293524,0.000140658,-0.000612844,-0.00318982
0,100,-4.98E-05,0.000270026,0.000127118,-0.000564362,-0.002931868
1,0,-0.494974874,0,0,0,-2.000000016
1,1,-0.498179057,-0.001603138,-0.16041801,-0.080313619,-2.000000016
1,2,-0.507841796,-0.006450235,-0.323346887,-0.162513567,-2.000000014
1,3,-0.524113662,-0.014654613,-0.491290861,-0.248494869,-2.000000008
1,4,-0.547244857,-0.026405551,-0.666719554,-0.340158323,-2.000000009
1,5,-0.57224216,-0.039297434,-0.584834791,-0.305705128,1.34214745
1,6,-0.593110578,-0.050433731,-0.460088248,-0.252229906,2.000000013
1,7,-0.609158262,-0.059557039,-0.343535407,-0.204857769,2.000000016
1,8,-0.620682407,-0.066888532,-0.233671103,-0.162459621,2.000000016
